ataque_1,defensa_1,velocidad_1,tipo_1,ataque_2,defensa_2,velocidad_2,tipo_2,gano_primero
80,75,35,oscuridad,82,92,15,tierra,1
60,70,75,luz,50,75,60,luz,1
94,78,80,fuego,90,50,70,plasma,0
50,90,10,tierra,92,88,25,fuego,0
98,45,75,fuego,85,65,85,luz,1
60,30,100,aire,60,70,75,luz,0
77,57,97,oscuridad,85,65,85,luz,0
70,65,70,luz,70,95,25,tierra,1
50,90,10,tierra,92,40,85,oscuridad,0
99,30,90,plasma,85,70,50,plasma,1
85,70,50,plasma,95,50,80,fuego,1
65,60,88,aire,60,60,60,plasma,1
70,95,25,tierra,75,50,80,oscuridad,0
85,65,85,luz,60,70,75,luz,1
70,95,25,tierra,85,70,50,plasma,1
70,80,60,agua,75,55,90,aire,0
60,60,60,plasma,50,90,40,oscuridad,1
99,30,90,plasma,60,60,80,aire,1
68,86,40,tierra,94,78,80,fuego,0
90,50,70,plasma,92,88,25,fuego,1
70,80,60,agua,94,78,80,fuego,1
92,88,25,fuego,95,50,80,fuego,0
50,90,40,oscuridad,68,86,40,tierra,0
82,92,15,tierra,50,90,40,oscuridad,1
50,90,40,oscuridad,75,100,10,tierra,0
75,50,80,oscuridad,88,60,70,oscuridad,0
80,85,65,luz,75,75,75,plasma,0
82,82,60,luz,85,70,50,plasma,0
50,90,40,oscuridad,50,90,10,tierra,1
70,80,60,agua,82,82,60,luz,0
75,55,90,aire,70,65,70,luz,1
75,75,75,plasma,50,90,40,oscuridad,1
75,55,90,aire,77,57,97,oscuridad,0
40,70,65,agua,50,75,60,luz,0
96,70,60,fuego,78,68,74,plasma,0
85,70,65,oscuridad,85,70,50,plasma,1
50,90,10,tierra,95,60,70,luz,0
95,60,70,luz,55,65,70,agua,1
50,90,40,luz,50,90,10,tierra,1
78,82,60,luz,80,75,35,oscuridad,1
70,88,30,tierra,65,60,88,aire,0
75,100,10,tierra,85,70,50,plasma,1
92,40,85,oscuridad,50,90,40,luz,0
78,82,60,luz,50,90,40,oscuridad,1
65,60,88,aire,95,50,80,fuego,0
80,55,98,aire,70,95,25,tierra,1
40,70,65,agua,70,90,20,agua,0
82,92,15,tierra,50,75,60,luz,1
45,35,90,oscuridad,88,60,70,oscuridad,0
45,35,90,oscuridad,40,70,65,agua,1
85,95,20,tierra,82,92,15,tierra,0
60,85,30,tierra,60,60,60,plasma,1
50,90,40,luz,88,60,82,fuego,0
